State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Bihar,"East Champaran/ Motihari","Raxaul APMC","Bitter gourd","Bitter Gourd","Grade A",12/09/2026,1100,1300,1200
Haryana,Gurgaon,"Gurgaon APMC",Tomato,Other,"Grade B",12/09/2026,1000,1400,1200
Uttarakhand,Haridwar,"Roorkee APMC",Tomato,Other,Medium,12/09/2026,1200,2200,1600
Haryana,Gurgaon,"Gurgaon APMC",Cauliflower,Other,"Grade A",12/09/2026,2500,3500,3000
Keralam,Thiruvananthapuram,"Parassala Market",Cowpea(Veg),"Cowpea (Veg)",Local,12/09/2026,7400,8000,7600
Haryana,Gurgaon,"Gurgaon APMC",Carrot,Other,"Grade B",12/09/2026,2000,4000,3000
Keralam,Thiruvananthapuram,"Parassala Market",Snakeguard,Snakeguard,Local,12/09/2026,2800,3200,3000
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Raddish,Other,"Grade A",12/09/2026,1500,2500,2000
Keralam,Thiruvananthapuram,"Parassala Market",Banana,Palayamthodan,Local,12/09/2026,2800,3200,3000
Keralam,Thiruvananthapuram,"Parassala Market",Banana,"Nendra Bale",Local,12/09/2026,6800,7200,7000
Punjab,Ludhiana,"Sahnewal APMC",Tomato,Tomato,FAQ,12/09/2026,3750,3750,3750
Rajasthan,Jalore,"Jalore APMC",Cucumbar(Kheera),Cucumbar,Local,12/09/2026,1000,1400,1200
Rajasthan,Jalore,"Jalore APMC",Cabbage,Cabbage,Local,12/09/2026,1500,2000,1800
Rajasthan,Jalore,"Jalore APMC",Brinjal,Brinjal,Local,12/09/2026,1500,1800,1600
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Apple,Other,"Grade A",12/09/2026,5000,10000,8000
Rajasthan,Jalore,"Jalore APMC","Bitter gourd",Other,Local,12/09/2026,2000,2500,2300
Keralam,Kollam,"Kottarakkara Market","Bottle gourd",Other,Local,12/09/2026,1800,1800,1800
Keralam,Ernakulam,"Piravam Market",Ginger(Green),"Green Ginger",Local,12/09/2026,18000,20000,19000
Keralam,Ernakulam,"Piravam Market",Carrot,Carrot,Local,12/09/2026,7000,8000,7500
Keralam,Ernakulam,"Piravam Market","Bitter gourd","Bitter Gourd",Local,12/09/2026,7000,8200,7500
Keralam,Ernakulam,"Piravam Market",Beetroot,Beetroot,Local,12/09/2026,7200,8000,7600
"Andhra Pradesh",Polavaram,"Rampachodvaram APMC",Paddy(Common),1001,"Grade Range-2",12/09/2026,2369,2389,2379
"Andhra Pradesh",Kakinada,"Kakinada (Urban) APMC",Paddy(Common),Common,FAQ,12/09/2026,2369,2390,2375
Bihar,"East Champaran/ Motihari","Raxaul APMC",Potato,"Red Nanital","Grade A",12/09/2026,1400,1600,1500
Bihar,"East Champaran/ Motihari","Raxaul APMC",Onion,"1st Sort","Grade A",12/09/2026,4200,4400,4300
Haryana,Gurgaon,"Gurgaon APMC","Bitter gourd",Other,"Grade B",12/09/2026,1000,2000,1500
Keralam,Thiruvananthapuram,"Parassala Market",Banana,"Red Banana",Local,12/09/2026,6800,7200,7000
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Onion,Other,"Grade A",12/09/2026,3500,4500,4000
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Cauliflower,Cauliflower,"Grade A",12/09/2026,2500,4000,3500
Tripura,"North Tripura","Dasda APMC",Brinjal,Round/Long,FAQ,12/09/2026,2650,2750,2700
"Uttar Pradesh",Badaun,"Babrala APMC",Potato,Potato,Medium,12/09/2026,580,600,590
Keralam,Thiruvananthapuram,"Parassala Market",Beetroot,Beetroot,Local,12/09/2026,3800,4200,4000
Uttarakhand,Haridwar,"Roorkee APMC","Bhindi(Ladies Finger)",Other,Local,12/09/2026,1000,1600,1300
Keralam,Thiruvananthapuram,"Parassala Market",Drumstick,Drumstick,Local,12/09/2026,2800,3200,3000
Keralam,Thiruvananthapuram,"Parassala Market",Cucumbar(Kheera),Cucumbar,Local,12/09/2026,2000,2400,2200
"Andhra Pradesh",Srikakulam,"Etcherla APMC",Maize,"Deshi White",Local,12/09/2026,2400,2400,2400
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC","Mousambi(Sweet Lime)",Mousambi,"Grade A",12/09/2026,3000,4000,3500
Rajasthan,Jalore,"Jalore APMC",Cauliflower,Cauliflower,Local,12/09/2026,1800,2200,2000
Rajasthan,Jalore,"Jalore APMC","Bhindi(Ladies Finger)",Bhindi,Local,12/09/2026,1200,1500,1300
Keralam,Kollam,"Kottarakkara Market",Snakeguard,Other,Local,12/09/2026,2100,2100,2100
Keralam,Kollam,"Kottarakkara Market",Pumpkin,Other,Local,12/09/2026,1500,1500,1500
Keralam,Kollam,"Kottarakkara Market","Little gourd(Kundru)",Other,Local,12/09/2026,3100,3100,3100
"Andhra Pradesh",Palnadu,"Gurazala APMC","Chili Red",Red,"Grade Range-1",12/09/2026,17000,28000,25600
Keralam,Kollam,"Kottarakkara Market",Ginger(Green),Other,Local,12/09/2026,5000,5000,5000
Keralam,Kollam,"Kottarakkara Market",Cowpea(Veg),Other,Local,12/09/2026,1000,1000,1000
Keralam,Kollam,"Kottarakkara Market",Ashgourd,Other,Local,12/09/2026,2000,2000,2000
Punjab,Amritsar,"Rayya APMC",Tinda,Other,FAQ,12/09/2026,1785,1785,1785
Punjab,Amritsar,"Rayya APMC",Ridgeguard(Tori),Other,FAQ,12/09/2026,2047,2047,2047
Keralam,Ernakulam,"Piravam Market","Little gourd(Kundru)",Other,Local,12/09/2026,5500,6500,6000
Punjab,Amritsar,"Rayya APMC",Cucumbar(Kheera),Cucumbar,FAQ,12/09/2026,890,890,890
Punjab,Amritsar,"Rayya APMC",Cauliflower,Local,FAQ,12/09/2026,3174,3174,3174
Keralam,Ernakulam,"Piravam Market",Lemon,Other,Local,12/09/2026,20000,22000,21000
Keralam,Kollam,"Kottarakkara Market",Carrot,Other,Local,12/09/2026,3600,3600,3600
Keralam,Kollam,"Kottarakkara Market",Brinjal,Other,Local,12/09/2026,2000,2000,2000
Punjab,Amritsar,"Rayya APMC","Green Chilli","Green Chilly",FAQ,12/09/2026,1066,1066,1066
"Andhra Pradesh","Alluri Sitharama Raju","Araku Valley APMC",Ginger(Dry),Ginger-Organic,"Grade Range-1",12/09/2026,12000,12000,12000
Keralam,Ernakulam,"Piravam Market",Drumstick,Drumstick,Local,12/09/2026,13000,14800,14000
Keralam,Ernakulam,"Piravam Market",Cauliflower,Cauliflower,Local,12/09/2026,6000,7000,6500
"Andhra Pradesh",Kakinada,"Pithapuram APMC",Paddy(Common),1001,FAQ,12/09/2026,2369,2389,2379
Telangana,"Bhadradri Kothagudem","Bhadrachalam APMC",Paddy(Common),"Samba Masuri",FAQ,12/09/2026,2389,2389,2389
Haryana,Gurgaon,"Gurgaon APMC",Banana,Other,"Grade B",12/09/2026,2000,4000,3000
Tripura,"North Tripura","Dasda APMC",Potato,Other,FAQ,12/09/2026,1400,1500,1450
Haryana,Gurgaon,"Gurgaon APMC",Cabbage,Other,"Grade B",12/09/2026,1000,1400,1200
